City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Palmer,US,42.1584,-72.3287,24.17,58,20,3.44,few clouds
191,Baie-Saint-Paul,CA,47.4411,-70.4986,11.25,87,1,6.06,clear sky
192,Pringsewu,ID,-5.3582,104.9744,79.99,80,100,5.41,overcast clouds
193,Pangnirtung,CA,66.1451,-65.7125,-34.94,89,55,3.38,broken clouds
194,Marsh Harbour,BS,26.5412,-77.0636,69.08,64,100,26.78,overcast clouds
195,Srednekolymsk,RU,67.45,153.6833,-24.2,98,97,3.85,overcast clouds
196,Manono,CD,-7.3,27.4167,68.09,95,100,0.74,overcast clouds
197,Pisco,PE,-13.7,-76.2167,69.85,78,40,19.57,scattered clouds
198,Butaritari,KI,3.0707,172.7902,82.13,75,54,15.97,broken clouds
199,Takab,IR,36.4009,47.1133,16.0,79,21,3.38,few clouds
200,Taraz,KZ,42.9,71.3667,29.28,93,100,6.71,mist
201,Taltal,CL,-25.4,-70.4833,69.55,72,0,2.42,clear sky
202,Saskylakh,RU,71.9167,114.0833,-31.54,100,6,2.04,clear sky
203,Kapit,MY,2.0167,112.9333,73.69,92,100,0.81,overcast clouds
204,Sinnamary,GF,5.3833,-52.95,75.69,90,100,8.01,overcast clouds
205,East London,ZA,-33.0153,27.9116,72.59,90,100,8.32,overcast clouds
206,Nalut,LY,30.3333,10.85,48.06,88,8,9.51,clear sky
207,Bodrum,TR,37.0383,27.4292,51.28,64,0,7.16,clear sky
208,Hambantota,LK,6.1241,81.1185,71.94,94,20,3.44,few clouds
209,Yumen,CN,40.2833,97.2,28.62,53,100,14.41,overcast clouds
210,Eureka,US,40.8021,-124.1637,55.74,74,3,11.99,clear sky
211,Raga,SS,8.4596,25.678,68.83,17,27,3.83,scattered clouds
212,Laguna,US,38.421,-121.4238,64.22,29,0,23.02,clear sky
213,Vao,NC,-22.6667,167.4833,79.23,80,20,17.85,few clouds
214,Barra Do Garcas,BR,-15.89,-52.2567,74.5,90,100,0.96,overcast clouds
215,Tura,IN,25.5198,90.2201,55.63,56,0,1.99,clear sky
216,Barreirinhas,BR,-2.7469,-42.8264,78.73,81,99,8.3,overcast clouds
217,Tual,ID,-5.6667,132.75,81.84,74,3,3.58,clear sky
218,Broome,US,42.2506,-75.833,19.83,70,39,1.99,scattered clouds
219,Katobu,ID,-4.9408,122.5276,81.09,79,9,3.22,clear sky
220,Yellowknife,CA,62.456,-114.3525,-21.44,69,20,5.75,few clouds
221,Rio Gallegos,AR,-51.6226,-69.2181,50.05,40,40,23.02,scattered clouds
222,Shieli,KZ,44.1667,66.75,26.1,73,1,6.06,clear sky
223,Saint Anthony,US,45.0205,-93.218,32.29,73,0,9.22,clear sky
224,Chilliwack,CA,49.1747,-121.9443,48.24,89,100,5.01,overcast clouds
225,Cayenne,GF,4.9333,-52.3333,78.1,90,75,3.0,light rain
226,Aldan,RU,58.6031,125.3894,-20.99,98,95,1.34,overcast clouds
227,Esperance,AU,-33.8667,121.9,69.64,52,0,1.25,clear sky
228,Kralendijk,BQ,12.15,-68.2667,78.78,73,0,12.66,clear sky
229,Menfi,IT,37.6066,12.9678,53.98,93,2,10.18,clear sky
230,Micomeseng,GQ,2.1462,10.6164,68.49,99,36,2.21,scattered clouds
231,Erzin,TR,36.9559,36.2,45.32,78,5,1.88,clear sky
232,Xining,CN,36.6167,101.7667,15.82,83,100,1.5,overcast clouds
233,Hofn,IS,64.2539,-15.2082,36.03,93,100,30.53,light rain
234,Canaries,ES,28.0,-15.5,57.4,63,40,18.41,scattered clouds
235,Bogorodskoye,RU,56.55,37.8833,26.1,83,49,12.62,scattered clouds
236,Kurchum,KZ,48.5722,83.6542,9.95,96,100,4.16,light snow
237,Tignere,CM,7.3667,12.65,67.75,18,59,1.45,broken clouds
238,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,82.13,47,11,0.43,few clouds
239,Brandon,US,27.9378,-82.2859,68.95,69,0,9.22,clear sky
240,Lima,PE,-12.0432,-77.0282,72.39,79,0,12.66,clear sky
241,Aitape,PG,-3.1374,142.3475,84.7,68,100,1.23,overcast clouds
242,Acapulco,MX,16.8634,-99.8901,82.22,69,40,5.75,scattered clouds
243,Amudat,UG,1.95,34.95,70.27,49,96,2.98,overcast clouds
244,Moindou,NC,-21.6924,165.677,85.95,75,73,10.6,broken clouds
245,Dubbo,AU,-32.25,148.6167,78.93,50,40,6.91,scattered clouds
246,Savannah Bight,HN,16.45,-85.85,73.0,77,17,9.98,few clouds
247,Amapa,BR,1.0,-52.0,72.32,98,100,2.77,overcast clouds
248,Ilebo,CD,-4.3167,20.5833,71.02,96,100,1.23,moderate rain
249,Henties Bay,NA,-22.116,14.2845,70.86,89,100,7.74,overcast clouds
250,Jining,CN,35.405,116.5814,32.41,60,9,6.58,clear sky
251,Jua,IN,15.5333,73.9333,65.73,69,41,2.48,scattered clouds
252,Vila Velha,BR,-20.3297,-40.2925,73.94,97,75,6.91,broken clouds
253,Svetlyy,RU,54.675,20.1347,41.05,83,86,13.62,overcast clouds
254,Launceston,AU,-41.45,147.1667,69.44,64,75,9.22,broken clouds
255,Ornskoldsvik,SE,63.2909,18.7153,24.62,100,100,9.22,light snow
256,Lechinkay,RU,43.5647,43.4328,26.22,92,75,2.24,mist
257,Clyde River,CA,70.4692,-68.5914,-34.37,74,0,4.61,haze
258,Sioux Lookout,CA,50.1001,-91.917,12.58,85,100,10.36,overcast clouds
259,Kamaishi,JP,39.2667,141.8833,32.95,61,55,5.75,broken clouds
260,Kendari,ID,-3.945,122.4989,74.53,93,100,3.22,overcast clouds
261,Orlik,RU,52.5178,99.825,-11.6,97,100,0.87,overcast clouds
262,Fare,PF,-16.7,-151.0167,81.82,70,21,16.28,few clouds
263,Taoudenni,ML,22.6783,-3.9836,65.01,25,100,12.19,overcast clouds
264,Manta,EC,-0.95,-80.7333,80.38,78,40,6.91,scattered clouds
265,Sumbe,AO,-11.2061,13.8437,77.23,77,97,6.4,overcast clouds
266,Ust-Kulom,RU,61.6864,53.6902,24.42,97,100,2.77,overcast clouds
267,Noumea,NC,-22.2763,166.4572,85.98,99,88,15.99,overcast clouds
268,Sao Raimundo Nonato,BR,-9.0153,-42.6994,75.7,68,60,2.73,broken clouds
269,Warmbad,NA,-28.45,18.7333,76.35,60,69,4.23,broken clouds
270,Rock Hill,US,34.9249,-81.0251,48.78,49,0,0.0,clear sky
271,Pimentel,PE,-6.8367,-79.9342,72.28,75,88,13.15,overcast clouds
272,Buraydah,SA,26.326,43.975,54.05,20,0,6.29,clear sky
273,Ciudad Valles,MX,21.9833,-99.0167,65.89,72,49,5.39,scattered clouds
274,Morgan City,US,29.6994,-91.2068,60.04,71,0,6.96,clear sky
275,Zaragoza,ES,41.6561,-0.8773,48.02,51,0,4.0,clear sky
276,Kasama,ZM,-10.2129,31.1808,58.06,98,99,2.93,overcast clouds
277,Aykhal,RU,66.0,111.5,-29.15,100,100,5.19,overcast clouds
278,Jalu,LY,29.0331,21.5482,55.67,51,77,9.51,broken clouds
279,Baherden,TM,38.4362,57.4316,35.62,53,4,6.55,clear sky
